station,linename,entries,exits,real_entries,real_exits,people_flow,day_of_week,month,month_year,week,week_year
353,25,16908331412.0,4531006855.0,36560.0,34954.0,71514.0,6,1,27,52,353
354,94,104773375.0,66434155.0,3717.0,2544.0,6261.0,6,1,27,52,353
357,0,31013014.0,37536645.0,6156.0,6944.0,13100.0,6,1,27,52,353
358,19,62669380.0,60214822.0,2894.0,3126.0,6020.0,6,1,27,52,353
358,32,110212327.0,45155674.0,1308.0,527.0,1835.0,6,1,27,52,353
361,20,60214148.0,43855276.0,1517.0,1520.0,3037.0,6,1,27,52,353
360,103,618328391.0,314448730.0,4253.0,2904.0,7157.0,6,1,27,52,353
362,0,18837406.0,29826995.0,2550.0,3052.0,5602.0,6,1,27,52,353
363,97,59081962.0,22972455.0,1046.0,447.0,1493.0,6,1,27,52,353
364,44,11620807545.0,10857834452.0,4972.0,8260.0,13232.0,6,1,27,52,353
351,40,132179858.0,118782153.0,2310.0,2025.0,4335.0,6,1,27,52,353
360,96,105259300.0,40754798.0,3231.0,1209.0,4440.0,6,1,27,52,353
350,110,192137064.0,1109130796.0,5068.0,3822.0,8890.0,6,1,27,52,353
404,0,11117485.0,15974463.0,961.0,1245.0,2206.0,6,1,27,52,353
348,61,1074138792.0,4546222559.0,9659.0,8855.0,18514.0,6,1,27,52,353
346,11,143701659.0,79550851.0,4601.0,2443.0,7044.0,6,1,27,52,353
344,103,188404992.0,103228085.0,4233.0,3387.0,7620.0,6,1,27,52,353
342,101,27372288.0,10584879.0,3155.0,1093.0,4248.0,6,1,27,52,353
341,94,86692458.0,87104275.0,1828.0,1834.0,3662.0,6,1,27,52,353
341,57,19194341325.0,12421805025.0,6858.0,5718.0,12576.0,6,1,27,52,353
341,13,5485821002.0,12990678863.0,17375.0,14573.0,31948.0,6,1,27,52,353
